MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368324460,2024-12-31T00:16:09,29.13983,-90.213,0.0,160.0,339,HOS BERETTA,IMO9347346,WDN9166,70.0,5.0,100.0,14.0,5.2,70.0,A
367672140,2024-12-31T03:35:37,33.72351,-118.28045,0.0,201.8,511,MAURETANIA,,WDH9845,60.0,15.0,25.0,6.0,0.0,60.0,A
366688000,2024-12-31T00:02:55,26.08655,-80.18485,0.0,360.0,511,TRILOGY,IMO0000000,WSF7174,37.0,,27.0,7.0,,,B
367597530,2024-12-31T00:06:32,40.73559,-73.94683,0.1,292.0,23,HUNTS POINT,IMO9648049,WDH2432,80.0,9.0,88.0,21.0,13.6,80.0,A
367468610,2024-12-31T01:05:34,29.78048,-92.19033,2.6,292.7,511,CAROLINE FRANCES,,WDF5912,31.0,0.0,21.0,9.0,2.9,31.0,A
338404987,2024-12-31T01:49:25,30.30218,-81.4242,4.7,354.2,351,NAUTI DREAMS,IMO0000000,NAUTIDR,37.0,,0.0,0.0,,,B
367694520,2024-12-31T01:49:23,26.11696,-80.10781,0.0,68.0,511,NOW WE KNOW,,WDI4038,37.0,5.0,33.0,9.0,2.1,37.0,A
367513160,2024-12-31T03:02:09,45.85423,-122.78411,7.1,179.8,179,DESCHUTES,IMO9158068,WDG2198,52.0,0.0,28.0,12.0,4.2,57.0,A
368253810,2024-12-31T03:01:14,45.73517,-122.85238,0.0,185.4,511,SANCTUARY,IMO0000000,WDM9560,37.0,,17.0,6.0,,,B
368347000,2024-12-31T02:17:05,32.72373,-117.22711,0.0,360.0,511,VAGABOND,,WDD7520,30.0,0.0,21.0,6.0,0.0,60.0,A
316030692,2024-12-31T03:05:23,30.56737,-88.09341,0.0,25.3,146,TIS A NEW LIFE,IMO0000000,CFN7286,37.0,,14.0,4.0,,,B
367362010,2024-12-31T01:12:43,40.78217,-125.02934,13.0,179.6,179,CORPUS CHRISTI,IMO9385740,WDE5099,80.0,0.0,184.0,22.0,5.9,80.0,A
477881600,2024-12-31T02:59:18,29.43286,-93.66696,10.2,177.6,181,SEAFRONTIER,IMO9457268,VRHA3,80.0,0.0,183.0,32.0,9.8,89.0,A
338034000,2024-12-31T01:10:41,29.14748,-94.58055,9.4,148.7,150,CAPE HOPE,IMO9292319,WDJ4747,70.0,0.0,63.0,16.0,4.2,70.0,A
367561460,2024-12-31T02:38:46,29.98351,-93.8901,5.3,96.0,95,ATHENA,IMO9686792,WDG6862,52.0,0.0,30.0,12.0,5.0,52.0,A
235076276,2024-12-31T03:25:44,34.32669,-121.75651,12.4,158.2,157,EAGLE HATTERAS,IMO9453975,2CWB5,80.0,0.0,250.0,44.0,8.8,80.0,A
368173440,2024-12-31T01:15:32,29.99569,-92.7905,0.0,240.1,511,BLR GENERAL,IMO0000900,WDL8844,31.0,15.0,15.0,7.0,0.0,31.0,A
338926428,2024-12-31T01:51:57,34.69864,-76.68157,0.0,140.6,511,CGNATHANBRUCKENTHAL,,NNBR,55.0,5.0,44.0,8.0,3.0,55.0,A
316022038,2024-12-31T03:05:46,49.1962,-123.13588,0.0,209.7,30,OCEAN GORDON,,VZB046,52.0,15.0,15.0,6.0,0.0,52.0,A
368080070,2024-12-31T00:25:16,47.64782,-122.31067,5.8,298.4,511,SEA CZAR,IMO0000000,WDK6985,37.0,,20.0,6.0,,,B
367717840,2024-12-31T01:26:42,38.40347,-82.5557,0.0,360.0,511,TAYLOR RENEE,,WDI6355,31.0,15.0,21.0,7.0,2.0,31.0,A
366747170,2024-12-31T00:15:33,27.90378,-82.40878,0.0,326.1,511,STIM STAR II,IMO9202003,WCY2842,20.0,0.0,76.0,17.0,3.6,20.0,A
209782000,2024-12-31T01:00:53,49.30266,-123.05103,0.0,291.3,297,PEGASUS,IMO9611242,5BNQ3,70.0,5.0,229.0,32.0,7.3,70.0,A
366866750,2024-12-31T02:52:55,36.96366,-76.4096,0.0,244.6,511,PACER,,WDA9581,30.0,15.0,,,4.0,30.0,A
